provider_state,drg_definition,drg_definition
AR,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",42
MD,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,42
MD,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,42
OH,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",42
MD,638 - DIABETES W CC,42
MD,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,42
MD,683 - RENAL FAILURE W CC,42
MD,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,42
MD,293 - HEART FAILURE & SHOCK W/O CC/MCC,42
MD,312 - SYNCOPE & COLLAPSE,42
VA,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",41
AZ,378 - G.I. HEMORRHAGE W CC,41
IN,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",41
AZ,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,41
LA,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,41
GA,379 - G.I. HEMORRHAGE W/O CC/MCC,41
MN,378 - G.I. HEMORRHAGE W CC,41
VA,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",41
AZ,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,41
NC,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,41
GA,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,41
OH,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,41
AR,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",41
WA,291 - HEART FAILURE & SHOCK W MCC,41
AR,292 - HEART FAILURE & SHOCK W CC,41
AZ,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,41
NJ,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,41
CA,203 - BRONCHITIS & ASTHMA W/O CC/MCC,41
WA,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,41
MI,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,41
IN,249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,41
NY,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,41
OH,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,41
MI,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,41
KS,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",41
MD,812 - RED BLOOD CELL DISORDERS W/O MCC,41
KS,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,41
WA,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,41
SC,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,41
MN,603 - CELLULITIS W/O MCC,41
KY,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,41
TN,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",41
PA,897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,41
KY,303 - ATHEROSCLEROSIS W/O MCC,41
MS,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,41
NC,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,41
MI,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,41
MI,252 - OTHER VASCULAR PROCEDURES W MCC,41
GA,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,41
AR,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,41
AL,682 - RENAL FAILURE W MCC,41
MN,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,41
MI,253 - OTHER VASCULAR PROCEDURES W CC,41
AL,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,41
MI,917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,41
MI,305 - HYPERTENSION W/O MCC,41
MI,811 - RED BLOOD CELL DISORDERS W MCC,41
AL,638 - DIABETES W CC,41
VA,300 - PERIPHERAL VASCULAR DISORDERS W CC,41
MN,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,41
WA,378 - G.I. HEMORRHAGE W CC,41
OK,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,41
AR,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,41
OH,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,41
WA,812 - RED BLOOD CELL DISORDERS W/O MCC,40
FL,885 - PSYCHOSES,40
MD,300 - PERIPHERAL VASCULAR DISORDERS W CC,40
AZ,313 - CHEST PAIN,40
MD,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,40
AZ,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",40
KY,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,40
MD,101 - SEIZURES W/O MCC,40
MD,389 - G.I. OBSTRUCTION W CC,40
MD,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,40
VA,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,40
VA,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,40
NC,811 - RED BLOOD CELL DISORDERS W MCC,40
WA,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,40
MA,303 - ATHEROSCLEROSIS W/O MCC,40
MI,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,40
WA,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,40
MA,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",40
PA,482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,40
CO,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",40
MI,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,40
MD,682 - RENAL FAILURE W MCC,40
MD,379 - G.I. HEMORRHAGE W/O CC/MCC,40
GA,811 - RED BLOOD CELL DISORDERS W MCC,40
MD,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",40
AR,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,40
WA,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,40
IL,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,40
PA,254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,40
WI,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,40
VA,390 - G.I. OBSTRUCTION W/O CC/MCC,40
NJ,301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,40
VA,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,40
OH,699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,40
KS,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",40
MO,101 - SEIZURES W/O MCC,40
SC,682 - RENAL FAILURE W MCC,40
NJ,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",40
OK,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,40
SC,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,40
NJ,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,40
MD,948 - SIGNS & SYMPTOMS W/O MCC,40
MA,149 - DYSEQUILIBRIUM,40
WA,293 - HEART FAILURE & SHOCK W/O CC/MCC,40
MI,684 - RENAL FAILURE W/O CC/MCC,40
IN,300 - PERIPHERAL VASCULAR DISORDERS W CC,40
AL,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,40
TN,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,39
TN,176 - PULMONARY EMBOLISM W/O MCC,39
WA,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,39
MD,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,39
MD,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,39
NY,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,39
MD,069 - TRANSIENT ISCHEMIA,39
MI,149 - DYSEQUILIBRIUM,39
NY,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,39
SC,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,39
NY,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",39
NJ,"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",39
MD,552 - MEDICAL BACK PROBLEMS W/O MCC,39
MO,377 - G.I. HEMORRHAGE W MCC,39
MI,698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,39
WA,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,39
CO,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,39
AL,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,39
KY,682 - RENAL FAILURE W MCC,39
CO,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",39
VA,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,39
VA,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,39
AZ,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,39
MD,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,39
MA,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,39
WI,682 - RENAL FAILURE W MCC,39
MA,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,39
NJ,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,39
WA,312 - SYNCOPE & COLLAPSE,39
VA,379 - G.I. HEMORRHAGE W/O CC/MCC,39
GA,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,39
IN,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",39
AR,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,39
WI,948 - SIGNS & SYMPTOMS W/O MCC,39
WA,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,39
NC,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,39
NC,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,39
IN,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,39
NC,536 - FRACTURES OF HIP & PELVIS W/O MCC,39
GA,252 - OTHER VASCULAR PROCEDURES W MCC,39
MA,390 - G.I. OBSTRUCTION W/O CC/MCC,39
MA,379 - G.I. HEMORRHAGE W/O CC/MCC,39
CO,194 - SIMPLE PNEUMONIA & PLEURISY W CC,39
NC,684 - RENAL FAILURE W/O CC/MCC,39
CA,684 - RENAL FAILURE W/O CC/MCC,39
IN,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,39
AZ,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,39
KY,638 - DIABETES W CC,39
AR,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,39
IL,482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,39
AZ,682 - RENAL FAILURE W MCC,39
KY,948 - SIGNS & SYMPTOMS W/O MCC,39
WA,682 - RENAL FAILURE W MCC,39
MI,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,39
SC,312 - SYNCOPE & COLLAPSE,38
IN,379 - G.I. HEMORRHAGE W/O CC/MCC,38
IN,377 - G.I. HEMORRHAGE W MCC,38
IN,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",38
OH,602 - CELLULITIS W MCC,38
MO,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,38
KY,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,38
MD,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",38
MD,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,38
VA,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,38
MD,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,38
VA,303 - ATHEROSCLEROSIS W/O MCC,38
WI,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,38
AL,389 - G.I. OBSTRUCTION W CC,38
NJ,418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,38
WA,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,38
MS,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,38
LA,638 - DIABETES W CC,38
AZ,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,38
LA,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",38
MS,378 - G.I. HEMORRHAGE W CC,38
AZ,312 - SYNCOPE & COLLAPSE,38
LA,312 - SYNCOPE & COLLAPSE,38
NY,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,38
MN,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,38
WA,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,38
PA,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,38
OK,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,38
GA,473 - CERVICAL SPINAL FUSION W/O CC/MCC,38
PA,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,38
MI,536 - FRACTURES OF HIP & PELVIS W/O MCC,38
WA,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,38
IL,885 - PSYCHOSES,38
PA,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,38
OH,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,38
WA,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,38
MI,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,38
OH,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,38
WA,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,38
KY,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,37
MN,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,37
MN,293 - HEART FAILURE & SHOCK W/O CC/MCC,37
MS,683 - RENAL FAILURE W CC,37
MO,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,37
IN,253 - OTHER VASCULAR PROCEDURES W CC,37
MN,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,37
AR,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,37
MN,683 - RENAL FAILURE W CC,37
SC,812 - RED BLOOD CELL DISORDERS W/O MCC,37
AZ,293 - HEART FAILURE & SHOCK W/O CC/MCC,37
LA,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,37
IN,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,37
PA,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,37
CO,292 - HEART FAILURE & SHOCK W CC,37
MI,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,37
NC,917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,37
CO,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,37
WI,312 - SYNCOPE & COLLAPSE,37
NJ,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,37
NC,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,37
TN,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,37
MD,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,37
MI,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,37
MD,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",37
SC,313 - CHEST PAIN,37
MD,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",37
MD,176 - PULMONARY EMBOLISM W/O MCC,37
MI,"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",37
MD,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,37
MD,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,37
MD,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,37
MD,377 - G.I. HEMORRHAGE W MCC,37
MI,699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,37
OH,897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,37
MD,684 - RENAL FAILURE W/O CC/MCC,37
IN,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,37
OH,491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,37
WA,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,36
MI,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,36
MD,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,36
TN,377 - G.I. HEMORRHAGE W MCC,36
MD,305 - HYPERTENSION W/O MCC,36
TN,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,36
TN,536 - FRACTURES OF HIP & PELVIS W/O MCC,36
AL,379 - G.I. HEMORRHAGE W/O CC/MCC,36
PA,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,36
WA,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,36
MA,300 - PERIPHERAL VASCULAR DISORDERS W CC,36
KS,292 - HEART FAILURE & SHOCK W CC,36
AL,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,36
VA,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,36
MI,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,36
MA,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,36
AR,603 - CELLULITIS W/O MCC,36
AL,202 - BRONCHITIS & ASTHMA W CC/MCC,36
NC,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,36
AR,812 - RED BLOOD CELL DISORDERS W/O MCC,36
OK,313 - CHEST PAIN,36
AZ,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,36
NJ,176 - PULMONARY EMBOLISM W/O MCC,36
WI,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,36
OK,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,36
MD,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,36
IN,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,36
KS,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,36
IN,482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,36
SC,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,36
WA,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,35
AL,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,35
AZ,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,35
MI,897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,35
SC,389 - G.I. OBSTRUCTION W CC,35
MA,203 - BRONCHITIS & ASTHMA W/O CC/MCC,35
GA,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",35
NJ,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,35
MA,536 - FRACTURES OF HIP & PELVIS W/O MCC,35
GA,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,35
MS,313 - CHEST PAIN,35
WI,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,35
MA,176 - PULMONARY EMBOLISM W/O MCC,35
MO,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,35
VA,811 - RED BLOOD CELL DISORDERS W MCC,35
PA,418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,35
MD,303 - ATHEROSCLEROSIS W/O MCC,35
MN,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,35
MD,149 - DYSEQUILIBRIUM,35
CO,603 - CELLULITIS W/O MCC,35
NJ,699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,35
MO,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,35
IN,101 - SEIZURES W/O MCC,35
NC,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,35
MI,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",35
GA,482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,35
AR,291 - HEART FAILURE & SHOCK W MCC,35
MD,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,35
IN,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,35
MO,300 - PERIPHERAL VASCULAR DISORDERS W CC,35
MN,291 - HEART FAILURE & SHOCK W MCC,35
MD,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,35
MA,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,35
LA,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,35
NJ,482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,35
SC,638 - DIABETES W CC,35
NY,491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,35
AL,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,35
MI,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,34
KY,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",34
KY,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",34
MI,491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,34
CO,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,34
MS,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,34
WI,552 - MEDICAL BACK PROBLEMS W/O MCC,34
NJ,698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,34
SC,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,34
WA,313 - CHEST PAIN,34
CO,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,34
VA,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",34
NJ,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,34
MN,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,34
AZ,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,34
NC,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,34
LA,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,34
OK,948 - SIGNS & SYMPTOMS W/O MCC,34
AL,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",34
WA,389 - G.I. OBSTRUCTION W CC,34
MA,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,34
GA,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",34
AL,203 - BRONCHITIS & ASTHMA W/O CC/MCC,34
MA,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",34
NC,418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,34
SC,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,34
MN,312 - SYNCOPE & COLLAPSE,34
MS,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,34
AZ,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",34
GA,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,34
OH,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,34
VA,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,34
NJ,419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,34
TN,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",34
TN,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,34
IN,202 - BRONCHITIS & ASTHMA W CC/MCC,34
OH,917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,34
SC,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,34
MD,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,34
OH,698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,34
MO,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",34
WA,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,34
OK,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,34
MI,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,33
MI,203 - BRONCHITIS & ASTHMA W/O CC/MCC,33
CO,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,33
MD,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,33
MA,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,33
OK,312 - SYNCOPE & COLLAPSE,33
GA,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,33
TN,305 - HYPERTENSION W/O MCC,33
KY,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,33
KS,603 - CELLULITIS W/O MCC,33
WI,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",33
PA,419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,33
AR,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,33
MO,390 - G.I. OBSTRUCTION W/O CC/MCC,33
